Id,satisfaction_level 
0,2
2,2
6,2
7,2
10,2
17,2
21,2
29,2
42,2
43,2
51,2
52,2
67,2
70,2
76,2
77,2
81,2
84,2
85,2
87,2
90,2
95,2
97,2
104,2
110,2
117,2
128,2
131,2
135,2
137,2
139,2
143,2
155,2
158,2
159,2
160,2
168,2
170,2
178,2
184,2
185,2
187,2
188,2
189,2
190,2
192,2
193,2
199,2
200,2
201,2
209,2
216,2
218,2
219,2
228,2
238,2
242,2
243,2
244,2
248,2
255,2
263,2
272,2
279,2
281,2
282,2
284,2
298,2
306,2
312,2
315,2
317,2
326,2
327,2
333,2
339,2
345,2
349,2
351,2
353,2
362,2
363,2
364,2
366,2
370,2
372,2
381,2
387,2
396,2
399,2
406,2
408,2
413,2
416,2
417,2
427,2
429,2
430,2
452,2
460,2
462,2
466,2
471,2
480,2
485,2
498,2
504,2
507,2
512,2
513,2
515,2
519,2
526,2
539,2
549,2
550,2
554,2
557,2
558,2
564,2
567,2
573,2
594,2
596,2
597,2
611,2
617,2
625,2
630,2
635,2
638,2
641,2
644,2
648,2
656,2
661,2
663,2
664,2
670,2
673,2
685,2
692,2
695,2
698,2
703,2
704,2
707,2
708,2
712,2
724,2
728,2
732,2
736,2
742,2
743,2
746,2
755,2
774,2
783,2
784,2
788,2
803,2
805,2
810,2
816,2
821,2
822,2
825,2
829,2
832,2
833,2
836,2
844,2
849,2
858,2
884,2
887,2
888,2
892,2
894,2
901,2
902,2
922,2
923,2
924,2
926,2
941,2
949,2
950,2
955,2
961,2
966,2
969,2
972,2
973,2
977,2
980,2
988,2
997,2
999,2
1008,2
1015,2
1017,2
1023,2
1025,2
1028,2
1031,2
