id,time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),city,snowfall,precipitation,rain_sum (mm),class
0,2018-01-01 00:00:00,33.2,24.3,39.0,28.8,2018-01-01 05:41:14,2018-01-01 18:09:47,10.8,23.0,257.02213,23.82,B,0.0,1.8,1.8,Hujan Ringan
1,2018-01-02 00:00:00,33.0,25.1,40.0,29.2,2018-01-02 05:41:45,2018-01-02 18:10:12,9.5,19.4,230.53691,22.72,B,0.0,2.3,2.3,Hujan Ringan
2,2018-01-03 00:00:00,31.3,24.9,38.3,30.3,2018-01-03 05:42:14,2018-01-03 18:10:35,11.1,23.8,275.6359,22.92,B,0.0,11.099999,11.099999,Hujan Sedang
3,2018-01-04 00:00:00,31.2,25.9,37.8,31.8,2018-01-04 05:42:43,2018-01-04 18:10:58,11.0,31.7,241.11348,17.7,B,0.0,16.4,16.4,Hujan Sedang
4,2018-01-05 00:00:00,29.6,25.4,34.3,29.6,2018-01-05 05:43:12,2018-01-05 18:11:20,17.3,33.1,246.59671,9.61,B,0.0,10.8,10.8,Hujan Sedang
5,2018-01-06 00:00:00,31.1,24.7,35.7,28.5,2018-01-06 05:43:41,2018-01-06 18:11:42,16.1,38.9,242.93246,15.64,B,0.0,4.1,4.1,Hujan Ringan
6,2018-01-07 00:00:00,30.0,25.1,34.6,29.5,2018-01-07 05:44:11,2018-01-07 18:12:03,15.0,29.5,263.85187,16.7,B,0.0,0.4,0.4,Hujan Ringan
7,2018-01-08 00:00:00,31.1,25.3,36.9,30.2,2018-01-08 05:44:40,2018-01-08 18:12:24,14.1,29.9,282.60416,20.69,B,0.0,9.399999,9.399999,Hujan Sedang
8,2018-01-09 00:00:00,29.7,24.7,35.4,30.2,2018-01-09 05:45:09,2018-01-09 18:12:44,14.5,32.4,304.99207,17.61,B,0.0,15.700001,15.700001,Hujan Sedang
9,2018-01-10 00:00:00,31.0,24.7,36.6,29.7,2018-01-10 05:45:38,2018-01-10 18:13:04,14.5,36.0,284.06265,21.68,B,,,6.7000003,Hujan Ringan
